texto,categoria,metadados_json
"Óbitos hospitalares registrados no SIH em Mato Grosso do Sul durante 2024, por mês: janeiro: 757, fevereiro: 625, março: 655, abril: 693, maio: 678, junho: 785, julho: 805, agosto: 820, setembro: 837, outubro: 858, novembro: 726, dezembro: 661. Total de óbitos no ano: 8900.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso do Sul"", ""co_uf_ibge"": 50, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Mato Grosso do Sul durante 2025, por mês: janeiro: 796, fevereiro: 655, março: 691, abril: 761, maio: 777, junho: 771, julho: 760, agosto: 816, setembro: 753, outubro: 768, novembro: 705, dezembro: 619. Total de óbitos no ano: 8872.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Mato Grosso do Sul"", ""co_uf_ibge"": 50, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Minas Gerais durante 2023, por mês: janeiro: 5536, fevereiro: 4984, março: 5663, abril: 5409, maio: 5881, junho: 5891, julho: 6082, agosto: 5907, setembro: 5709, outubro: 5868, novembro: 5949, dezembro: 5803. Total de óbitos no ano: 68682.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Minas Gerais"", ""co_uf_ibge"": 31, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Minas Gerais durante 2024, por mês: janeiro: 5816, fevereiro: 5716, março: 6265, abril: 6366, maio: 6100, junho: 6192, julho: 6371, agosto: 6313, setembro: 6060, outubro: 5986, novembro: 5606, dezembro: 5723. Total de óbitos no ano: 72514.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Minas Gerais"", ""co_uf_ibge"": 31, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Minas Gerais durante 2025, por mês: janeiro: 6086, fevereiro: 5637, março: 5621, abril: 5349, maio: 6272, junho: 6596, julho: 6657, agosto: 6463, setembro: 6087, outubro: 5931, novembro: 5412, dezembro: 5501. Total de óbitos no ano: 71612.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Minas Gerais"", ""co_uf_ibge"": 31, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Paraná durante 2023, por mês: janeiro: 3283, fevereiro: 2908, março: 3162, abril: 2968, maio: 3353, junho: 3316, julho: 3455, agosto: 3590, setembro: 3322, outubro: 3215, novembro: 3264, dezembro: 3225. Total de óbitos no ano: 39061.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraná"", ""co_uf_ibge"": 41, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Paraná durante 2024, por mês: janeiro: 3288, fevereiro: 3223, março: 3430, abril: 3332, maio: 3597, junho: 3803, julho: 3779, agosto: 3990, setembro: 3820, outubro: 3733, novembro: 3385, dezembro: 3055. Total de óbitos no ano: 42435.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraná"", ""co_uf_ibge"": 41, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Paraná durante 2025, por mês: janeiro: 3586, fevereiro: 3162, março: 3132, abril: 3122, maio: 3572, junho: 3847, julho: 3922, agosto: 3714, setembro: 3607, outubro: 3577, novembro: 3372, dezembro: 3405. Total de óbitos no ano: 42018.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraná"", ""co_uf_ibge"": 41, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Paraíba durante 2023, por mês: janeiro: 904, fevereiro: 862, março: 927, abril: 897, maio: 940, junho: 774, julho: 993, agosto: 951, setembro: 884, outubro: 861, novembro: 837, dezembro: 807. Total de óbitos no ano: 10637.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraíba"", ""co_uf_ibge"": 25, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Paraíba durante 2024, por mês: janeiro: 976, fevereiro: 1030, março: 1243, abril: 1108, maio: 1055, junho: 1042, julho: 1080, agosto: 1064, setembro: 1023, outubro: 1084, novembro: 917, dezembro: 1041. Total de óbitos no ano: 12663.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraíba"", ""co_uf_ibge"": 25, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Paraíba durante 2025, por mês: janeiro: 1195, fevereiro: 971, março: 1038, abril: 929, maio: 1041, junho: 1123, julho: 1199, agosto: 1216, setembro: 1085, outubro: 1091, novembro: 1120, dezembro: 988. Total de óbitos no ano: 12996.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Paraíba"", ""co_uf_ibge"": 25, ""ano"": 2025}"
