Ano;Mes;Fonte;Indicador;Unidade_Federacao;Valor;Arquivo_Origem
2023;4.0;SIH;Média permanência;32 Espírito Santo;5,1;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;33 Rio de Janeiro;6,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;35 São Paulo;5,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;41 Paraná;4,3;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;42 Santa Catarina;4,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;43 Rio Grande do Sul;5,9;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;50 Mato Grosso do Sul;4,6;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;51 Mato Grosso;4,4;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;52 Goiás;4,6;sih_cnv_niuf085849187_72_164_185.csv
2023;4.0;SIH;Média permanência;53 Distrito Federal;5,8;sih_cnv_niuf085849187_72_164_185.csv
2023;8.0;SIH;Internações;11 Rondônia;11360,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;12 Acre;5048,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;13 Amazonas;20991,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;14 Roraima;4655,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;15 Pará;45387,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;16 Amapá;4011,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;17 Tocantins;8145,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;21 Maranhão;40408,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;22 Piauí;19133,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;23 Ceará;46783,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;24 Rio Grande do Norte;18478,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;25 Paraíba;20797,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;26 Pernambuco;55199,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;27 Alagoas;14579,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;28 Sergipe;10048,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;29 Bahia;79881,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;31 Minas Gerais;125224,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;32 Espírito Santo;25010,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;33 Rio de Janeiro;76549,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;35 São Paulo;232854,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;41 Paraná;82589,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;42 Santa Catarina;50583,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;43 Rio Grande do Sul;70516,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;50 Mato Grosso do Sul;18056,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;51 Mato Grosso;19351,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;52 Goiás;36999,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Internações;53 Distrito Federal;22032,0;sih_cnv_niuf090248201_63_116_66.csv
2023;8.0;SIH;Valor total;11 Rondônia;13060538,09;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;12 Acre;4561281,78;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;13 Amazonas;25028779,35;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;14 Roraima;4766375,31;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;15 Pará;50157395,14;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;16 Amapá;3503666,51;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;17 Tocantins;9633088,42;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;21 Maranhão;39617062,53;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;22 Piauí;22561338,38;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;23 Ceará;63978316,1;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;24 Rio Grande do Norte;32473961,14;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;25 Paraíba;28924227,66;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;26 Pernambuco;91312093,96;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;27 Alagoas;21019436,09;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;28 Sergipe;15943535,13;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;29 Bahia;106074009,68;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;31 Minas Gerais;224412959,08;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;32 Espírito Santo;43004236,52;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;33 Rio de Janeiro;125396755,19;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;35 São Paulo;405401983,28;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;41 Paraná;156755891,34;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;42 Santa Catarina;92610928,13;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;43 Rio Grande do Sul;120027121,08;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;50 Mato Grosso do Sul;27768462,56;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;51 Mato Grosso;22608901,38;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;52 Goiás;51127084,86;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Valor total;53 Distrito Federal;30961244,28;sih_cnv_niuf090303187_51_16_18.csv
2023;8.0;SIH;Dias permanência;11 Rondônia;56035,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;12 Acre;23219,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;13 Amazonas;104373,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;14 Roraima;30747,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;15 Pará;193793,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;16 Amapá;21842,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;17 Tocantins;38538,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;21 Maranhão;201827,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;22 Piauí;97440,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;23 Ceará;269583,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;24 Rio Grande do Norte;91036,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;25 Paraíba;111998,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;26 Pernambuco;291344,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;27 Alagoas;83722,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;28 Sergipe;53986,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;29 Bahia;372135,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;31 Minas Gerais;614913,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;32 Espírito Santo;125592,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;33 Rio de Janeiro;474671,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;35 São Paulo;1242395,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;41 Paraná;352841,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;42 Santa Catarina;219264,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;43 Rio Grande do Sul;426902,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;50 Mato Grosso do Sul;82036,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;51 Mato Grosso;82207,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;52 Goiás;169841,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Dias permanência;53 Distrito Federal;127019,0;sih_cnv_niuf090315187_109_40_194.csv
2023;8.0;SIH;Média permanência;11 Rondônia;4,9;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;12 Acre;4,6;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;13 Amazonas;5,0;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;14 Roraima;6,6;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;15 Pará;4,3;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;16 Amapá;5,4;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;17 Tocantins;4,7;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;21 Maranhão;5,0;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;22 Piauí;5,1;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;23 Ceará;5,8;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;24 Rio Grande do Norte;4,9;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;25 Paraíba;5,4;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;26 Pernambuco;5,3;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;27 Alagoas;5,7;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;28 Sergipe;5,4;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;29 Bahia;4,7;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;31 Minas Gerais;4,9;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;32 Espírito Santo;5,0;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;33 Rio de Janeiro;6,2;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;35 São Paulo;5,3;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;41 Paraná;4,3;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;42 Santa Catarina;4,3;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;43 Rio Grande do Sul;6,1;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;50 Mato Grosso do Sul;4,5;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;51 Mato Grosso;4,2;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;52 Goiás;4,6;sih_cnv_niuf090322187_72_164_185.csv
2023;8.0;SIH;Média permanência;53 Distrito Federal;5,8;sih_cnv_niuf090322187_72_164_185.csv
2023;12.0;SIH;Internações;11 Rondônia;9369,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;12 Acre;4031,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;13 Amazonas;13959,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;14 Roraima;3534,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;15 Pará;43920,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;16 Amapá;3957,0;sih_cnv_niuf090741187_109_40_194.csv
2023;12.0;SIH;Internações;17 Tocantins;8601,0;sih_cnv_niuf090741187_109_40_194.csv
