NOME_UF,CO_UF_IBGE,Ano,Leitos SUS,Leitos UTI total,Leitos existentes,População residente,Qtd hospitais,TOTAL_INTERNACOES,TOTAL_OBITOS_SIH,VALOR_TOTAL_SIH,MEDIA_PERMANENCIA_ANO,INTERNACOES_POR_LEITO,TAXA_MORTALIDADE_HOSPITALAR,GASTO_MEDIO_INTERNACAO,LEITOS_POR_10K_HAB
Rondônia,11,2023,4040.0,626.0,5435.0,1740255.0,108.0,128985.0,3906.0,136369051.81,4.7749999999999995,23.732290708371664,3.0282590998953367,1057.2473683761677,31.231055218919067
Rondônia,11,2024,4169.0,640.0,5500.0,1746227.0,107.0,134742.0,3928.0,164759023.38,4.966666666666667,24.498545454545454,2.9152009024654526,1222.7740673286726,31.49647783478322
Rondônia,11,2025,4681.0,685.0,5936.0,1751950.0,113.0,139852.0,4344.0,161171199.69,4.941666666666666,23.5599730458221,3.1061407773932443,1152.4411498584218,33.8822454978738
Roraima,14,2023,1398.0,104.0,1563.0,695270.0,21.0,45354.0,1450.0,45350901.58,6.766666666666667,29.017274472168907,3.1970719230938838,999.9316836442209,22.48047521106908
Roraima,14,2024,1429.0,105.0,1605.0,716793.0,21.0,37387.0,1123.0,39825641.76,6.966666666666666,23.294080996884734,3.0037178698478084,1065.2269976194934,22.391401701746528
Roraima,14,2025,1466.0,104.0,1680.0,738772.0,20.0,35072.0,1021.0,45979989.71,7.175,20.876190476190477,2.911154197080292,1311.0170423699817,22.74043954020997
Santa Catarina,42,2023,12846.0,1911.0,17647.0,7927212.0,230.0,581908.0,23695.0,1044457670.16,4.366666666666667,32.97489658298861,4.071949517793191,1794.884535287365,22.261294386979937
Santa Catarina,42,2024,13159.0,1942.0,17915.0,8058441.0,232.0,648105.0,25863.0,1497686299.12,4.183333333333334,36.176667596985766,3.9905570856574166,2310.8698422632133,22.23134722956959
Santa Catarina,42,2025,13392.0,1997.0,18363.0,8186962.0,243.0,688803.0,26346.0,1536356633.54,4.083333333333333,37.51037412187551,3.824896233030344,2230.4732028460967,22.429565448086848
Sergipe,28,2023,2782.0,478.0,3766.0,2281994.0,51.0,115742.0,5561.0,179085145.58,5.3999999999999995,30.733404142326076,4.804651725389228,1547.2788234176014,16.503110875839287
Sergipe,28,2024,2837.0,491.0,3841.0,2291077.0,52.0,119686.0,5743.0,200991772.85999998,5.416666666666667,31.160114553501693,4.7983891181926035,1679.325676018916,16.7650410702041
Sergipe,28,2025,3146.0,554.0,4275.0,2299425.0,55.0,123536.0,5756.0,214323163.21,5.516666666666667,28.89730994152047,4.659370547856495,1734.9045072691363,18.591604422844842
