OBITOS,CO_UF_IBGE,NOME_UF,ANO_REF,MES_REF
1846.0,42,Santa Catarina,2023,3
3289.0,43,Rio Grande do Sul,2023,3
712.0,50,Mato Grosso do Sul,2023,3
592.0,51,Mato Grosso,2023,3
1359.0,52,Goiás,2023,3
615.0,53,Distrito Federal,2023,3
347.0,11,Rondônia,2023,4
183.0,12,Acre,2023,4
624.0,13,Amazonas,2023,4
166.0,14,Roraima,2023,4
1181.0,15,Pará,2023,4
147.0,16,Amapá,2023,4
319.0,17,Tocantins,2023,4
1107.0,21,Maranhão,2023,4
618.0,22,Piauí,2023,4
1926.0,23,Ceará,2023,4
540.0,24,Rio Grande do Norte,2023,4
897.0,25,Paraíba,2023,4
2105.0,26,Pernambuco,2023,4
582.0,27,Alagoas,2023,4
439.0,28,Sergipe,2023,4
2822.0,29,Bahia,2023,4
5409.0,31,Minas Gerais,2023,4
909.0,32,Espírito Santo,2023,4
4234.0,33,Rio de Janeiro,2023,4
10894.0,35,São Paulo,2023,4
2968.0,41,Paraná,2023,4
1873.0,42,Santa Catarina,2023,4
3242.0,43,Rio Grande do Sul,2023,4
756.0,50,Mato Grosso do Sul,2023,4
595.0,51,Mato Grosso,2023,4
1274.0,52,Goiás,2023,4
564.0,53,Distrito Federal,2023,4
381.0,11,Rondônia,2023,5
199.0,12,Acre,2023,5
659.0,13,Amazonas,2023,5
118.0,14,Roraima,2023,5
1194.0,15,Pará,2023,5
157.0,16,Amapá,2023,5
380.0,17,Tocantins,2023,5
1242.0,21,Maranhão,2023,5
663.0,22,Piauí,2023,5
2094.0,23,Ceará,2023,5
600.0,24,Rio Grande do Norte,2023,5
940.0,25,Paraíba,2023,5
2333.0,26,Pernambuco,2023,5
640.0,27,Alagoas,2023,5
457.0,28,Sergipe,2023,5
2869.0,29,Bahia,2023,5
5881.0,31,Minas Gerais,2023,5
933.0,32,Espírito Santo,2023,5
4577.0,33,Rio de Janeiro,2023,5
11361.0,35,São Paulo,2023,5
3353.0,41,Paraná,2023,5
2089.0,42,Santa Catarina,2023,5
3584.0,43,Rio Grande do Sul,2023,5
706.0,50,Mato Grosso do Sul,2023,5
635.0,51,Mato Grosso,2023,5
1375.0,52,Goiás,2023,5
547.0,53,Distrito Federal,2023,5
329.0,11,Rondônia,2023,7
178.0,12,Acre,2023,7
757.0,13,Amazonas,2023,7
97.0,14,Roraima,2023,7
1215.0,15,Pará,2023,7
114.0,16,Amapá,2023,7
269.0,17,Tocantins,2023,7
1228.0,21,Maranhão,2023,7
741.0,22,Piauí,2023,7
1922.0,23,Ceará,2023,7
653.0,24,Rio Grande do Norte,2023,7
993.0,25,Paraíba,2023,7
2511.0,26,Pernambuco,2023,7
761.0,27,Alagoas,2023,7
504.0,28,Sergipe,2023,7
3277.0,29,Bahia,2023,7
6082.0,31,Minas Gerais,2023,7
996.0,32,Espírito Santo,2023,7
4948.0,33,Rio de Janeiro,2023,7
12447.0,35,São Paulo,2023,7
3455.0,41,Paraná,2023,7
2088.0,42,Santa Catarina,2023,7
3963.0,43,Rio Grande do Sul,2023,7
702.0,50,Mato Grosso do Sul,2023,7
582.0,51,Mato Grosso,2023,7
1365.0,52,Goiás,2023,7
613.0,53,Distrito Federal,2023,7
325.0,11,Rondônia,2023,6
181.0,12,Acre,2023,6
706.0,13,Amazonas,2023,6
78.0,14,Roraima,2023,6
1190.0,15,Pará,2023,6
125.0,16,Amapá,2023,6
259.0,17,Tocantins,2023,6
1176.0,21,Maranhão,2023,6
653.0,22,Piauí,2023,6
1902.0,23,Ceará,2023,6
646.0,24,Rio Grande do Norte,2023,6
774.0,25,Paraíba,2023,6
2211.0,26,Pernambuco,2023,6
626.0,27,Alagoas,2023,6
467.0,28,Sergipe,2023,6
2968.0,29,Bahia,2023,6
5891.0,31,Minas Gerais,2023,6
1010.0,32,Espírito Santo,2023,6
4962.0,33,Rio de Janeiro,2023,6
12420.0,35,São Paulo,2023,6
3316.0,41,Paraná,2023,6
2143.0,42,Santa Catarina,2023,6
3702.0,43,Rio Grande do Sul,2023,6
695.0,50,Mato Grosso do Sul,2023,6
628.0,51,Mato Grosso,2023,6
1171.0,52,Goiás,2023,6
629.0,53,Distrito Federal,2023,6
306.0,11,Rondônia,2024,12
123.0,12,Acre,2024,12
413.0,13,Amazonas,2024,12
60.0,14,Roraima,2024,12
1227.0,15,Pará,2024,12
109.0,16,Amapá,2024,12
268.0,17,Tocantins,2024,12
1230.0,21,Maranhão,2024,12
655.0,22,Piauí,2024,12
1930.0,23,Ceará,2024,12
645.0,24,Rio Grande do Norte,2024,12
1041.0,25,Paraíba,2024,12
2341.0,26,Pernambuco,2024,12
643.0,27,Alagoas,2024,12
470.0,28,Sergipe,2024,12
2702.0,29,Bahia,2024,12
5723.0,31,Minas Gerais,2024,12
1002.0,32,Espírito Santo,2024,12
4391.0,33,Rio de Janeiro,2024,12
11627.0,35,São Paulo,2024,12
3055.0,41,Paraná,2024,12
2041.0,42,Santa Catarina,2024,12
3423.0,43,Rio Grande do Sul,2024,12
661.0,50,Mato Grosso do Sul,2024,12
617.0,51,Mato Grosso,2024,12
1332.0,52,Goiás,2024,12
525.0,53,Distrito Federal,2024,12
301.0,11,Rondônia,2024,11
151.0,12,Acre,2024,11
503.0,13,Amazonas,2024,11
80.0,14,Roraima,2024,11
1255.0,15,Pará,2024,11
112.0,16,Amapá,2024,11
279.0,17,Tocantins,2024,11
1150.0,21,Maranhão,2024,11
624.0,22,Piauí,2024,11
1746.0,23,Ceará,2024,11
705.0,24,Rio Grande do Norte,2024,11
917.0,25,Paraíba,2024,11
2108.0,26,Pernambuco,2024,11
564.0,27,Alagoas,2024,11
471.0,28,Sergipe,2024,11
3038.0,29,Bahia,2024,11
5606.0,31,Minas Gerais,2024,11
964.0,32,Espírito Santo,2024,11
4516.0,33,Rio de Janeiro,2024,11
11445.0,35,São Paulo,2024,11
3385.0,41,Paraná,2024,11
1876.0,42,Santa Catarina,2024,11
3708.0,43,Rio Grande do Sul,2024,11
726.0,50,Mato Grosso do Sul,2024,11
607.0,51,Mato Grosso,2024,11
1181.0,52,Goiás,2024,11
554.0,53,Distrito Federal,2024,11
313.0,11,Rondônia,2024,10
159.0,12,Acre,2024,10
585.0,13,Amazonas,2024,10
108.0,14,Roraima,2024,10
1264.0,15,Pará,2024,10
120.0,16,Amapá,2024,10
289.0,17,Tocantins,2024,10
1243.0,21,Maranhão,2024,10
653.0,22,Piauí,2024,10
2045.0,23,Ceará,2024,10
664.0,24,Rio Grande do Norte,2024,10
1084.0,25,Paraíba,2024,10
2445.0,26,Pernambuco,2024,10
694.0,27,Alagoas,2024,10
596.0,28,Sergipe,2024,10
3008.0,29,Bahia,2024,10
5986.0,31,Minas Gerais,2024,10
1080.0,32,Espírito Santo,2024,10
4668.0,33,Rio de Janeiro,2024,10
12115.0,35,São Paulo,2024,10
3733.0,41,Paraná,2024,10
2307.0,42,Santa Catarina,2024,10
4105.0,43,Rio Grande do Sul,2024,10
858.0,50,Mato Grosso do Sul,2024,10
691.0,51,Mato Grosso,2024,10
1320.0,52,Goiás,2024,10
571.0,53,Distrito Federal,2024,10
312.0,11,Rondônia,2024,9
149.0,12,Acre,2024,9
694.0,13,Amazonas,2024,9
94.0,14,Roraima,2024,9
1159.0,15,Pará,2024,9
103.0,16,Amapá,2024,9
299.0,17,Tocantins,2024,9
1186.0,21,Maranhão,2024,9
679.0,22,Piauí,2024,9
2113.0,23,Ceará,2024,9
670.0,24,Rio Grande do Norte,2024,9
1023.0,25,Paraíba,2024,9
2357.0,26,Pernambuco,2024,9
627.0,27,Alagoas,2024,9
434.0,28,Sergipe,2024,9
2990.0,29,Bahia,2024,9
6060.0,31,Minas Gerais,2024,9
1014.0,32,Espírito Santo,2024,9
4731.0,33,Rio de Janeiro,2024,9
12478.0,35,São Paulo,2024,9
3820.0,41,Paraná,2024,9
2251.0,42,Santa Catarina,2024,9
3790.0,43,Rio Grande do Sul,2024,9
837.0,50,Mato Grosso do Sul,2024,9
688.0,51,Mato Grosso,2024,9
1377.0,52,Goiás,2024,9
574.0,53,Distrito Federal,2024,9
334.0,11,Rondônia,2024,8
147.0,12,Acre,2024,8
581.0,13,Amazonas,2024,8
106.0,14,Roraima,2024,8
1242.0,15,Pará,2024,8
105.0,16,Amapá,2024,8
297.0,17,Tocantins,2024,8
1119.0,21,Maranhão,2024,8
678.0,22,Piauí,2024,8
2066.0,23,Ceará,2024,8
637.0,24,Rio Grande do Norte,2024,8
1064.0,25,Paraíba,2024,8
2534.0,26,Pernambuco,2024,8
660.0,27,Alagoas,2024,8
445.0,28,Sergipe,2024,8
3244.0,29,Bahia,2024,8
6313.0,31,Minas Gerais,2024,8
983.0,32,Espírito Santo,2024,8
4980.0,33,Rio de Janeiro,2024,8
13070.0,35,São Paulo,2024,8
3990.0,41,Paraná,2024,8
2379.0,42,Santa Catarina,2024,8
4225.0,43,Rio Grande do Sul,2024,8
820.0,50,Mato Grosso do Sul,2024,8
799.0,51,Mato Grosso,2024,8
1385.0,52,Goiás,2024,8
630.0,53,Distrito Federal,2024,8
388.0,11,Rondônia,2024,7
183.0,12,Acre,2024,7
586.0,13,Amazonas,2024,7
114.0,14,Roraima,2024,7
1330.0,15,Pará,2024,7
141.0,16,Amapá,2024,7
294.0,17,Tocantins,2024,7
1230.0,21,Maranhão,2024,7
712.0,22,Piauí,2024,7
1991.0,23,Ceará,2024,7
756.0,24,Rio Grande do Norte,2024,7
1080.0,25,Paraíba,2024,7
2365.0,26,Pernambuco,2024,7
668.0,27,Alagoas,2024,7
465.0,28,Sergipe,2024,7
3336.0,29,Bahia,2024,7
6371.0,31,Minas Gerais,2024,7
1059.0,32,Espírito Santo,2024,7
4947.0,33,Rio de Janeiro,2024,7
13426.0,35,São Paulo,2024,7
3779.0,41,Paraná,2024,7
2460.0,42,Santa Catarina,2024,7
4283.0,43,Rio Grande do Sul,2024,7
805.0,50,Mato Grosso do Sul,2024,7
746.0,51,Mato Grosso,2024,7
1454.0,52,Goiás,2024,7
615.0,53,Distrito Federal,2024,7
371.0,11,Rondônia,2024,6
137.0,12,Acre,2024,6
654.0,13,Amazonas,2024,6
102.0,14,Roraima,2024,6
1246.0,15,Pará,2024,6
120.0,16,Amapá,2024,6
288.0,17,Tocantins,2024,6
1205.0,21,Maranhão,2024,6
686.0,22,Piauí,2024,6
2077.0,23,Ceará,2024,6
657.0,24,Rio Grande do Norte,2024,6
1042.0,25,Paraíba,2024,6
2382.0,26,Pernambuco,2024,6
647.0,27,Alagoas,2024,6
440.0,28,Sergipe,2024,6
2925.0,29,Bahia,2024,6
6192.0,31,Minas Gerais,2024,6
1070.0,32,Espírito Santo,2024,6
4915.0,33,Rio de Janeiro,2024,6
13094.0,35,São Paulo,2024,6
3803.0,41,Paraná,2024,6
2262.0,42,Santa Catarina,2024,6
4043.0,43,Rio Grande do Sul,2024,6
785.0,50,Mato Grosso do Sul,2024,6
678.0,51,Mato Grosso,2024,6
1331.0,52,Goiás,2024,6
562.0,53,Distrito Federal,2024,6
353.0,11,Rondônia,2024,5
145.0,12,Acre,2024,5
683.0,13,Amazonas,2024,5
97.0,14,Roraima,2024,5
1250.0,15,Pará,2024,5
111.0,16,Amapá,2024,5
349.0,17,Tocantins,2024,5
1355.0,21,Maranhão,2024,5
784.0,22,Piauí,2024,5
2172.0,23,Ceará,2024,5
604.0,24,Rio Grande do Norte,2024,5
1055.0,25,Paraíba,2024,5
2421.0,26,Pernambuco,2024,5
707.0,27,Alagoas,2024,5
455.0,28,Sergipe,2024,5
3174.0,29,Bahia,2024,5
6100.0,31,Minas Gerais,2024,5
1027.0,32,Espírito Santo,2024,5
4719.0,33,Rio de Janeiro,2024,5
13060.0,35,São Paulo,2024,5
3597.0,41,Paraná,2024,5
2290.0,42,Santa Catarina,2024,5
3907.0,43,Rio Grande do Sul,2024,5
678.0,50,Mato Grosso do Sul,2024,5
736.0,51,Mato Grosso,2024,5
1405.0,52,Goiás,2024,5
653.0,53,Distrito Federal,2024,5
297.0,11,Rondônia,2024,4
150.0,12,Acre,2024,4
692.0,13,Amazonas,2024,4
77.0,14,Roraima,2024,4
1307.0,15,Pará,2024,4
116.0,16,Amapá,2024,4
333.0,17,Tocantins,2024,4
1218.0,21,Maranhão,2024,4
818.0,22,Piauí,2024,4
2144.0,23,Ceará,2024,4
657.0,24,Rio Grande do Norte,2024,4
1108.0,25,Paraíba,2024,4
2454.0,26,Pernambuco,2024,4
681.0,27,Alagoas,2024,4
480.0,28,Sergipe,2024,4
3300.0,29,Bahia,2024,4
6366.0,31,Minas Gerais,2024,4
1001.0,32,Espírito Santo,2024,4
4554.0,33,Rio de Janeiro,2024,4
12619.0,35,São Paulo,2024,4
3332.0,41,Paraná,2024,4
2074.0,42,Santa Catarina,2024,4
3554.0,43,Rio Grande do Sul,2024,4
693.0,50,Mato Grosso do Sul,2024,4
645.0,51,Mato Grosso,2024,4
1427.0,52,Goiás,2024,4
651.0,53,Distrito Federal,2024,4
324.0,11,Rondônia,2024,3
182.0,12,Acre,2024,3
626.0,13,Amazonas,2024,3
112.0,14,Roraima,2024,3
1267.0,15,Pará,2024,3
127.0,16,Amapá,2024,3
301.0,17,Tocantins,2024,3
1206.0,21,Maranhão,2024,3
703.0,22,Piauí,2024,3
1822.0,23,Ceará,2024,3
622.0,24,Rio Grande do Norte,2024,3
1243.0,25,Paraíba,2024,3
2415.0,26,Pernambuco,2024,3
628.0,27,Alagoas,2024,3
541.0,28,Sergipe,2024,3
3177.0,29,Bahia,2024,3
6265.0,31,Minas Gerais,2024,3
970.0,32,Espírito Santo,2024,3
4717.0,33,Rio de Janeiro,2024,3
12230.0,35,São Paulo,2024,3
3430.0,41,Paraná,2024,3
1915.0,42,Santa Catarina,2024,3
3482.0,43,Rio Grande do Sul,2024,3
655.0,50,Mato Grosso do Sul,2024,3
617.0,51,Mato Grosso,2024,3
1306.0,52,Goiás,2024,3
610.0,53,Distrito Federal,2024,3
286.0,11,Rondônia,2024,2
153.0,12,Acre,2024,2
566.0,13,Amazonas,2024,2
83.0,14,Roraima,2024,2
1160.0,15,Pará,2024,2
130.0,16,Amapá,2024,2
324.0,17,Tocantins,2024,2
1098.0,21,Maranhão,2024,2
634.0,22,Piauí,2024,2
1735.0,23,Ceará,2024,2
671.0,24,Rio Grande do Norte,2024,2
1030.0,25,Paraíba,2024,2
2187.0,26,Pernambuco,2024,2
619.0,27,Alagoas,2024,2
486.0,28,Sergipe,2024,2
2884.0,29,Bahia,2024,2
5716.0,31,Minas Gerais,2024,2
890.0,32,Espírito Santo,2024,2
4670.0,33,Rio de Janeiro,2024,2
11080.0,35,São Paulo,2024,2
3223.0,41,Paraná,2024,2
1937.0,42,Santa Catarina,2024,2
3285.0,43,Rio Grande do Sul,2024,2
625.0,50,Mato Grosso do Sul,2024,2
546.0,51,Mato Grosso,2024,2
1176.0,52,Goiás,2024,2
581.0,53,Distrito Federal,2024,2
343.0,11,Rondônia,2024,1
126.0,12,Acre,2024,1
487.0,13,Amazonas,2024,1
90.0,14,Roraima,2024,1
1169.0,15,Pará,2024,1
140.0,16,Amapá,2024,1
302.0,17,Tocantins,2024,1
1293.0,21,Maranhão,2024,1
773.0,22,Piauí,2024,1
1978.0,23,Ceará,2024,1
677.0,24,Rio Grande do Norte,2024,1
976.0,25,Paraíba,2024,1
2228.0,26,Pernambuco,2024,1
638.0,27,Alagoas,2024,1
460.0,28,Sergipe,2024,1
2901.0,29,Bahia,2024,1
5816.0,31,Minas Gerais,2024,1
908.0,32,Espírito Santo,2024,1
4664.0,33,Rio de Janeiro,2024,1
11680.0,35,São Paulo,2024,1
3288.0,41,Paraná,2024,1
2071.0,42,Santa Catarina,2024,1
3585.0,43,Rio Grande do Sul,2024,1
757.0,50,Mato Grosso do Sul,2024,1
622.0,51,Mato Grosso,2024,1
1226.0,52,Goiás,2024,1
653.0,53,Distrito Federal,2024,1
347.0,11,Rondônia,2025,12
104.0,12,Acre,2025,12
601.0,13,Amazonas,2025,12
69.0,14,Roraima,2025,12
1273.0,15,Pará,2025,12
101.0,16,Amapá,2025,12
314.0,17,Tocantins,2025,12
1251.0,21,Maranhão,2025,12
752.0,22,Piauí,2025,12
1924.0,23,Ceará,2025,12
639.0,24,Rio Grande do Norte,2025,12
988.0,25,Paraíba,2025,12
2377.0,26,Pernambuco,2025,12
612.0,27,Alagoas,2025,12
441.0,28,Sergipe,2025,12
2869.0,29,Bahia,2025,12
5501.0,31,Minas Gerais,2025,12
1038.0,32,Espírito Santo,2025,12
4583.0,33,Rio de Janeiro,2025,12
11595.0,35,São Paulo,2025,12
3405.0,41,Paraná,2025,12
2127.0,42,Santa Catarina,2025,12
3442.0,43,Rio Grande do Sul,2025,12
619.0,50,Mato Grosso do Sul,2025,12
593.0,51,Mato Grosso,2025,12
1274.0,52,Goiás,2025,12
576.0,53,Distrito Federal,2025,12
375.0,11,Rondônia,2025,10
159.0,12,Acre,2025,10
811.0,13,Amazonas,2025,10
80.0,14,Roraima,2025,10
1367.0,15,Pará,2025,10
113.0,16,Amapá,2025,10
303.0,17,Tocantins,2025,10
